
 Shear/q and Bending Moment/q vs Y
  Configuration: Wing                                                        
  Mach  =    0.785
  alpha =   46.737    CLtot =    4.632
  beta  =    0.000

  Sref  =     1.00000
  Bref  =     1.00000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =  -2.8024199
     2Ymax/Bref =   0.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  -1.82446          1.14732    
   -0.1001  -1.74966          1.05789    
   -0.3003  -1.60004         0.890258    
   -0.5004  -1.45033         0.737608    
   -0.7006  -1.30062         0.599941    
   -0.9008  -1.15128         0.477240    
   -1.1010  -1.00286         0.369440    
   -1.3011 -0.856128         0.276410    
   -1.5013 -0.712088         0.197932    
   -1.7015 -0.572016         0.133671    
   -1.9016 -0.437560         0.831488E-01
   -2.1018 -0.310881         0.456944E-01
   -2.3020 -0.194944         0.203813E-01
   -2.5022 -0.941253E-01     0.591531E-02
   -2.7023 -0.160525E-01     0.401660E-03
   -2.8024   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   0.
     2Ymax/Bref =   2.8024199
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  -1.82446         -1.14732    
    0.1001  -1.74966         -1.05789    
    0.3003  -1.60004        -0.890258    
    0.5004  -1.45033        -0.737608    
    0.7006  -1.30062        -0.599941    
    0.9008  -1.15128        -0.477240    
    1.1010  -1.00286        -0.369440    
    1.3011 -0.856128        -0.276410    
    1.5013 -0.712088        -0.197932    
    1.7015 -0.572016        -0.133671    
    1.9016 -0.437560        -0.831488E-01
    2.1018 -0.310881        -0.456944E-01
    2.3020 -0.194944        -0.203813E-01
    2.5022 -0.941253E-01    -0.591531E-02
    2.7023 -0.160525E-01    -0.401660E-03
    2.8024   0.00000          0.00000    
